,date,total cases,positive cases,infected,real recovered cases,dead
0,2020-02-22,1,1,46,1,0
1,2020-02-23,2,2,42,6,0
2,2020-02-24,2,2,81,10,0
3,2020-02-25,2,2,126,12,0
4,2020-02-26,2,2,191,23,0
5,2020-02-27,3,3,292,41,0
6,2020-02-28,3,3,409,86,0
7,2020-02-29,5,4,559,145,0
8,2020-03-01,7,6,504,228,0
9,2020-03-02,9,8,784,330,0
10,2020-03-03,9,7,1106,459,0
11,2020-03-04,14,12,1498,624,0
12,2020-03-05,22,19,1970,893,0
13,2020-03-06,35,31,2653,1270,0
14,2020-03-07,58,49,2305,1811,0
15,2020-03-08,81,57,2222,2270,0
16,2020-03-09,105,71,4056,2634,0
17,2020-03-10,120,72,6006,3222,0
18,2020-03-11,179,122,7921,4348,0
19,2020-03-12,222,143,9899,6147,0
20,2020-03-13,321,198,12343,8494,0
21,2020-03-14,351,181,10368,11431,0
22,2020-03-15,381,169,9245,14211,0
23,2020-03-16,620,360,14743,16521,0
24,2020-03-17,932,596,19834,19483,0
25,2020-03-18,1211,751,24420,23901,0
26,2020-03-19,1402,767,29066,29820,0
27,2020-03-20,1644,817,34179,37077,0
28,2020-03-21,1857,854,27968,45655,11
29,2020-03-22,2095,877,23969,53438,33
30,2020-03-23,2411,995,36629,59516,54
31,2020-03-24,2771,1167,48058,66902,77
32,2020-03-25,3062,1238,57446,77877,100
33,2020-03-26,3326,1222,65277,92363,123
34,2020-03-27,3650,1278,72685,109302,144
35,2020-03-28,4012,1310,58239,128134,167
36,2020-03-29,4277,1224,48618,144939,190
37,2020-03-30,4501,1156,66866,157763,212
38,2020-03-31,4879,1293,81696,171776,235
39,2020-04-01,5167,1317,91272,190668,257
40,2020-04-02,5527,1426,96910,214013,280
41,2020-04-03,5946,1534,100578,239357,303
42,2020-04-04,6446,1714,80107,265417,327
43,2020-04-05,6730,1631,65803,287920,351
44,2020-04-06,7034,1565,79121,305005,391
45,2020-04-07,7309,1493,88210,321690,439
46,2020-04-08,7593,1417,91688,341497,484
47,2020-04-09,8073,1606,90696,364224,508
48,2020-04-10,8588,1849,87552,387473,532
49,2020-04-11,8973,1879,69197,410136,572
50,2020-04-12,9409,1890,56068,429210,620
51,2020-04-13,9666,1727,59057,443639,695
52,2020-04-14,9981,1646,59465,456178,783
53,2020-04-15,10470,1720,57678,469168,850
54,2020-04-16,11067,1959,54024,482713,892
55,2020-04-17,11616,2083,49451,495861,916
56,2020-04-18,12109,2143,38993,508160,956
57,2020-04-19,12510,2010,31420,518291,1004
58,2020-04-20,12768,1781,30356,526105,1052
59,2020-04-21,13304,1869,29033,532644,1100
60,2020-04-22,13832,1944,27112,538769,1144
61,2020-04-23,14201,1875,24700,544880,1168
62,2020-04-24,14862,2025,21914,550892,1192
63,2020-04-25,15309,1931,17240,556352,1216
64,2020-04-26,15656,1703,13664,560945,1240
65,2020-04-27,15937,1508,12569,564441,1264
66,2020-04-28,16284,1451,11713,567163,1288
67,2020-04-29,16766,1588,10927,569544,1312
68,2020-04-30,17224,1615,9893,571929,1336
69,2020-05-01,17639,1582,8056,574155,1360
70,2020-05-02,18108,1551,6654,576047,1384
71,2020-05-03,18373,1366,5611,577505,1408
72,2020-05-04,18586,1227,5349,578672,1432
73,2020-05-05,18891,1238,5065,579673,1456
74,2020-05-06,19183,1217,4718,580627,1480
75,2020-05-07,19474,1183,4284,581556,1504
76,2020-05-08,19838,1203,3827,582423,1528
77,2020-05-09,20167,1138,3136,583213,1552
78,2020-05-10,20455,1080,2604,583861,1576
79,2020-05-11,20707,980,2350,584392,1600
80,2020-05-12,20941,905,2175,584793,1621
81,2020-05-13,21509,1105,2046,585117,1621
82,2020-05-14,21915,1109,1847,585463,1621
83,2020-05-15,22304,1028,1572,585847,1621
84,2020-05-16,22652,920,1269,586193,1621
85,2020-05-17,22964,792,996,586482,1621
86,2020-05-18,23215,683,802,586710,1621
87,2020-05-19,23414,582,669,586859,1621
88,2020-05-20,23785,528,555,586974,1621
89,2020-05-21,24147,447,455,587074,1621
90,2020-05-22,24515,368,368,587161,1621
91,2020-05-23,24799,284,284,587245,1621
92,2020-05-24,25002,203,203,587326,1621
93,2020-05-25,25143,145,145,587384,1621
94,2020-05-26,25242,99,99,587430,1621
95,2020-05-27,25314,72,72,587457,1621
96,2020-05-28,25362,48,48,587481,1621
97,2020-05-29,25390,28,28,587501,1621
98,2020-05-30,25397,7,7,587522,1621
99,2020-05-31,25397,0,0,587529,1621
