Date,Active Cases,Daily New,Total,Recoverd,Daily Recoverd,Daily Death,Total Death,Total Test,Daily Test
2020-02-22,1,1,1,0,0,0,0,0,0
2020-02-23,2,1,2,0,0,0,0,0,0
2020-02-24,0,-2,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0
2020-02-27,1,1,1,0,0,0,0,0,0
2020-02-28,1,0,1,0,0,0,0,0,0
2020-02-29,3,2,3,0,0,0,0,300,300
2020-03-01,5,2,5,0,0,0,0,375,75
2020-03-02,7,2,7,0,0,0,0,443,68
2020-03-03,6,-1,6,0,0,0,0,479,36
2020-03-04,11,5,11,0,0,0,0,563,84
2020-03-05,19,8,19,0,0,0,0,648,85
2020-03-06,32,13,32,0,0,0,0,893,245
2020-03-07,55,23,55,0,0,0,0,1046,153
2020-03-08,78,23,78,0,0,0,0,1700,654
2020-03-09,101,24,102,0,0,1,1,2134,434
2020-03-10,113,15,117,0,0,3,4,2388,254
2020-03-11,169,59,176,0,0,3,7,2642,254
2020-03-12,209,43,219,0,0,3,10,2896,254
2020-03-13,305,99,318,0,0,3,13,3150,254
2020-03-14,332,30,348,0,0,3,16,3794,644
2020-03-15,359,30,378,0,0,3,19,4438,644
2020-03-16,595,239,617,0,0,3,22,5758,1320
2020-03-17,904,312,929,0,0,3,25,6872,1114
2020-03-18,1171,279,1208,2,2,10,35,8140,1268
2020-03-19,1360,191,1399,2,0,2,37,9424,1284
2020-03-20,1590,242,1641,2,0,12,49,10590,1166
2020-03-21,1788,213,1854,4,2,13,62,11799,1209
2020-03-22,2018,238,2092,4,0,8,70,12869,1070
2020-03-23,2317,316,2408,4,0,17,87,14619,1750
2020-03-24,2660,360,2768,4,0,17,104,16110,1491
2020-03-25,2902,291,3059,4,0,49,153,17509,1399
2020-03-26,3149,264,3323,4,0,17,170,19329,1820
2020-03-27,3435,324,3647,19,15,23,193,20197,868
2020-03-28,3772,362,4009,24,5,20,213,22829,2632
2020-03-29,4012,265,4274,26,2,23,236,24782,1953
2020-03-30,4193,224,4498,34,8,35,271,26578,1796
2020-03-31,4512,378,4876,59,25,34,305,28918,2340
2020-04-01,4751,288,5164,74,15,34,339,31135,2217
2020-04-02,5044,360,5524,103,29,38,377,33431,2296
2020-04-03,5389,419,5943,138,35,39,416,36547,3116
2020-04-04,5804,500,6443,196,58,27,443,38638,2091
2020-04-05,6018,284,6727,245,49,21,464,40638,2000
2020-04-06,6246,304,7031,278,33,43,507,43306,2668
2020-04-07,6425,275,7306,339,61,35,542,46927,3621
2020-04-08,6622,284,7590,396,57,30,572,51238,4311
2020-04-09,6992,480,8070,473,77,33,605,55548,4310
2020-04-10,7375,515,8585,569,96,36,641,60271,4723
2020-04-11,7642,385,8970,639,70,48,689,65391,5120
2020-04-12,7978,436,9406,701,62,38,727,69003,3612
2020-04-13,8161,257,9663,739,38,36,763,71615,2612
2020-04-14,8383,315,9978,792,53,40,803,74060,2445
2020-04-15,8753,489,10467,869,77,42,845,78066,4006
2020-04-16,9173,597,11064,1003,134,43,888,83130,5064
2020-04-17,9543,549,11613,1152,149,30,918,89136,6006
2020-04-18,9871,493,12106,1293,141,24,942,94278,5142
2020-04-19,10157,401,12507,1359,66,49,991,99008,4730
2020-04-20,10319,258,12765,1417,58,38,1029,102082,3074
2020-04-21,10699,536,13301,1530,113,43,1072,107850,5768
2020-04-22,11091,528,13829,1633,103,33,1105,113930,6080
2020-04-23,11329,369,14198,1732,99,32,1137,120387,6457
2020-04-24,11765,661,14859,1919,187,38,1175,126449,6062
2020-04-25,12031,447,15306,2058,139,42,1217,132510,6061
2020-04-26,12235,347,15653,2160,102,41,1258,137069,4559
2020-04-27,12401,281,15934,2246,86,29,1287,140996,3927
2020-04-28,12625,347,16281,2344,98,25,1312,146173,5177
2020-04-29,12938,482,16763,2479,135,34,1346,152447,6274
2020-04-30,13164,458,17221,2679,200,32,1378,158762,6315
2020-05-01,13352,415,17636,2898,219,8,1386,164053,5291
2020-05-02,13702,469,18105,3003,105,14,1400,170109,6056
2020-05-03,13839,265,18370,3122,119,9,1409,173385,3276
2020-05-04,13916,213,18583,3245,123,13,1422,176078,2693
2020-05-05,14018,305,18888,3437,192,11,1433,181316,5238
2020-05-06,14116,292,19180,3616,179,15,1448,188057,6741
2020-05-07,14204,291,19471,3798,182,21,1469,194584,6527
2020-05-08,14320,364,19835,4036,238,10,1479,201183,6599
2020-05-09,14428,329,20164,4245,209,12,1491,205800,4617
2020-05-10,14494,288,20452,4458,213,9,1500,210370,4570
2020-05-11,14560,252,20704,4625,167,19,1519,213783,3413
2020-05-12,14631,234,20938,4771,146,17,1536,218071,4288
2020-05-13,14719,568,21506,5236,465,15,1551,224788,6717
