date,total cases,positive cases,infected,real recovered cases,dead
2020-02-22,1,1,193,7,0
2020-02-23,2,2,160,52,0
2020-02-24,2,1,236,86,0
2020-02-25,2,1,359,111,0
2020-02-26,2,1,476,178,0
2020-02-27,3,2,578,267,0
2020-02-28,3,1,679,387,0
2020-02-29,5,3,834,535,0
2020-03-01,7,3,730,709,0
2020-03-02,9,4,1120,875,0
2020-03-03,9,3,1444,1111,0
2020-03-04,14,8,1792,1443,0
2020-03-05,22,14,2134,1890,0
2020-03-06,35,21,2636,2407,0
2020-03-07,58,38,2227,3040,0
2020-03-08,81,53,2102,3598,0
2020-03-09,105,63,3332,4133,0
2020-03-10,120,58,4286,4842,0
2020-03-11,179,88,5030,5893,0
2020-03-12,222,107,5956,7115,0
2020-03-13,321,176,7424,8441,0
2020-03-14,351,162,6436,10109,0
2020-03-15,381,171,5792,11873,0
2020-03-16,620,371,8809,13429,9
2020-03-17,932,578,11139,15414,33
2020-03-18,1211,694,12837,18176,56
2020-03-19,1402,673,14491,21464,80
2020-03-20,1644,711,17018,25080,101
2020-03-21,1857,717,14258,29194,122
2020-03-22,2095,782,12340,33258,145
2020-03-23,2411,888,17298,36780,169
2020-03-24,2771,988,21013,40967,193
2020-03-25,3062,1011,23433,46426,217
2020-03-26,3326,959,25876,52601,241
2020-03-27,3650,1016,29659,59121,265
2020-03-28,4012,1103,24822,66343,289
2020-03-29,4277,1053,21384,73468,313
2020-03-30,4501,1011,29637,79723,337
2020-03-31,4879,1121,35278,86977,361
2020-04-01,5167,1125,38333,96481,385
2020-04-02,5527,1182,41047,107066,409
2020-04-03,5946,1232,45896,117769,433
2020-04-04,6446,1412,37609,129436,457
2020-04-05,6730,1380,31752,140422,481
2020-04-06,7034,1381,41412,149733,505
2020-04-07,7309,1333,47356,160184,550
2020-04-08,7593,1313,49532,173099,598
2020-04-09,8073,1399,50776,187117,645
2020-04-10,8588,1476,53416,200826,693
2020-04-11,8973,1508,42942,214962,723
2020-04-12,9409,1632,35473,227775,747
2020-04-13,9666,1515,42486,238468,792
2020-04-14,9981,1444,45958,249616,839
2020-04-15,10470,1550,45966,262480,887
2020-04-16,11067,1693,45015,275706,933
2020-04-17,11616,1703,45223,288058,981
2020-04-18,12109,1710,35948,300189,1023
2020-04-19,12510,1696,29123,311004,1047
2020-04-20,12768,1525,32688,319847,1095
2020-04-21,13304,1643,33712,328735,1142
2020-04-22,13832,1697,32318,338431,1190
2020-04-23,14201,1509,30355,347894,1238
2020-04-24,14862,1628,29600,356172,1285
2020-04-25,15309,1588,23321,364033,1311
2020-04-26,15656,1505,18468,371153,1335
2020-04-27,15937,1334,19440,377014,1359
2020-04-28,16284,1242,18976,382560,1383
2020-04-29,16766,1306,17524,388205,1407
2020-04-30,17224,1323,16003,393404,1431
2020-05-01,17639,1325,12308,397919,1455
2020-05-02,18108,1359,9789,401602,1479
2020-05-03,18373,1167,7873,404570,1503
2020-05-04,18586,992,8188,407010,1527
2020-05-05,18891,944,7918,409329,1551
2020-05-06,19183,917,7321,411555,1575
2020-05-07,19474,850,6711,413613,1599
2020-05-08,19838,897,6365,415400,1623
2020-05-09,20167,916,5001,417040,1647
2020-05-10,20455,847,3936,418482,1671
2020-05-11,20707,791,3867,419655,1695
2020-05-12,20941,716,3649,420728,1719
2020-05-13,21509,959,3311,421768,1743
2020-05-14,21915,987,2949,422717,1767
2020-05-15,22304,961,2652,423485,1791
2020-05-16,22652,894,2012,424207,1800
2020-05-17,22964,760,1478,424847,1800
2020-05-18,23215,640,1237,425344,1800
2020-05-19,23414,545,1012,425716,1801
2020-05-20,23785,570,810,426037,1802
2020-05-21,24147,517,640,426290,1802
2020-05-22,24552,457,480,426494,1802
2020-05-23,24876,324,324,426650,1802
2020-05-24,25080,229,229,426745,1802
2020-05-25,25221,152,152,426822,1802
2020-05-26,25319,98,98,426876,1802
2020-05-27,25384,65,65,426909,1802
2020-05-28,25425,41,41,426933,1802
2020-05-29,25446,21,21,426953,1802
2020-05-30,25457,11,11,426963,1802
2020-05-31,25458,1,1,426973,1802
