date,total cases,positive cases,infected,real recovered cases,dead
2020-02-22,1,1,193,7,0
2020-02-23,2,2,160,52,0
2020-02-24,2,1,230,86,0
2020-02-25,2,1,352,111,0
2020-02-26,2,1,473,172,0
2020-02-27,3,2,574,261,0
2020-02-28,3,2,669,381,0
2020-02-29,5,4,814,528,0
2020-03-01,7,5,684,696,0
2020-03-02,9,6,1026,862,0
2020-03-03,9,5,1324,1077,0
2020-03-04,14,6,1569,1379,0
2020-03-05,22,11,1852,1773,0
2020-03-06,35,21,2224,2213,0
2020-03-07,58,37,1784,2768,0
2020-03-08,81,49,1513,3271,0
2020-03-09,105,57,2400,3666,0
2020-03-10,120,57,3098,4174,0
2020-03-11,179,95,3663,4929,0
2020-03-12,222,111,4464,5778,0
2020-03-13,321,182,5615,6712,0
2020-03-14,351,171,4892,7932,0
2020-03-15,381,161,4360,9245,0
2020-03-16,620,349,6469,10431,0
2020-03-17,932,585,8204,11831,9
2020-03-18,1211,709,9238,13907,24
2020-03-19,1402,683,10125,16380,46
2020-03-20,1644,704,11409,19037,69
2020-03-21,1857,706,9328,22004,89
2020-03-22,2095,685,7841,24874,99
2020-03-23,2411,761,10740,27232,104
2020-03-24,2771,889,12810,29960,109
2020-03-25,3062,882,13938,33449,110
2020-03-26,3326,834,14952,37362,110
2020-03-27,3650,885,16570,41441,110
2020-03-28,4012,964,13510,45773,110
2020-03-29,4277,935,11266,49902,110
2020-03-30,4501,867,14818,53399,110
2020-03-31,4879,963,17433,57274,110
2020-04-01,5167,950,18841,62051,110
2020-04-02,5527,1008,19930,67379,110
2020-04-03,5946,1099,21810,72823,110
2020-04-04,6446,1240,17590,78571,110
2020-04-05,6730,1138,14523,83973,110
2020-04-06,7034,1086,18618,88550,110
2020-04-07,7309,1007,21239,93483,110
2020-04-08,7593,975,22481,99488,110
2020-04-09,8073,1102,23439,105930,110
2020-04-10,8588,1239,25363,112309,110
2020-04-11,8973,1252,20516,118983,110
2020-04-12,9409,1276,16874,125319,110
2020-04-13,9666,1119,21092,130680,110
2020-04-14,9981,1075,23191,136289,110
2020-04-15,10470,1231,23545,142979,110
2020-04-16,11067,1365,23638,149904,110
2020-04-17,11616,1456,24531,156437,110
2020-04-18,12109,1463,19019,163033,110
2020-04-19,12510,1373,14698,169077,110
2020-04-20,12768,1159,17405,173937,110
2020-04-21,13304,1264,18839,178805,110
2020-04-22,13832,1378,18774,184304,110
2020-04-23,14201,1258,18245,189917,110
2020-04-24,14862,1457,18375,195099,110
2020-04-25,15309,1437,14131,200121,110
2020-04-26,15656,1271,10841,204635,110
2020-04-27,15937,1109,12456,208196,110
2020-04-28,16284,1078,13270,211710,110
2020-04-29,16766,1163,13148,215533,110
2020-04-30,17224,1194,12669,219421,110
2020-05-01,17639,1140,9551,223043,110
2020-05-02,18108,1170,7360,226040,110
2020-05-03,18373,1051,5869,228337,110
2020-05-04,18586,911,6868,230148,110
2020-05-05,18891,883,7056,232057,110
2020-05-06,19183,862,6831,234022,110
2020-05-07,19474,801,6588,235986,110
2020-05-08,19838,907,6669,237756,110
2020-05-09,20167,935,5103,239510,110
2020-05-10,20455,883,3928,241042,110
2020-05-11,20707,804,4418,242240,110
2020-05-12,20941,777,4703,243322,110
2020-05-13,21509,1026,4642,244587,110
2020-05-14,21915,1014,4427,245900,110
2020-05-15,22304,1006,4399,247054,110
2020-05-16,22652,1029,3491,248113,110
2020-05-17,22964,961,2734,249098,110
2020-05-18,23215,850,2960,249912,110
2020-05-19,23414,730,2927,250720,110
2020-05-20,23785,763,2648,251626,110
2020-05-21,24147,781,2427,252390,110
2020-05-22,24552,820,2304,253037,110
2020-05-23,24929,825,1745,253666,110
2020-05-24,25133,658,1300,254196,110
2020-05-25,25274,507,1211,254632,110
2020-05-26,25546,521,1146,254987,110
2020-05-27,25847,524,1042,255316,110
2020-05-28,26185,565,933,255602,110
2020-05-29,26456,537,823,255839,110
2020-05-30,26771,509,606,256056,110
2020-05-31,26994,391,418,256245,110
