date,total cases,positive cases,infected,real recovered cases,dead
2020-02-22,1,1,193,7,0
2020-02-23,2,2,160,52,0
2020-02-24,2,1,230,86,0
2020-02-25,2,1,352,111,0
2020-02-26,2,1,473,172,0
2020-02-27,3,2,574,261,0
2020-02-28,3,2,669,381,0
2020-02-29,5,4,814,528,0
2020-03-01,7,5,684,696,0
2020-03-02,9,6,1026,862,0
2020-03-03,9,5,1324,1077,0
2020-03-04,14,6,1569,1379,0
2020-03-05,22,11,1852,1773,0
2020-03-06,35,21,2224,2213,0
2020-03-07,58,37,1784,2768,0
2020-03-08,81,49,1513,3271,0
2020-03-09,105,57,2400,3666,0
2020-03-10,120,57,3098,4174,0
2020-03-11,179,95,3663,4929,0
2020-03-12,222,111,4464,5778,0
2020-03-13,321,182,5615,6712,0
2020-03-14,351,171,4892,7932,0
2020-03-15,381,161,4360,9245,0
2020-03-16,620,349,6469,10431,0
2020-03-17,932,580,8212,11824,9
2020-03-18,1211,695,9427,13836,24
2020-03-19,1402,647,10727,16223,45
2020-03-20,1644,692,12649,18847,66
2020-03-21,1857,692,10593,21944,85
2020-03-22,2095,710,9290,24938,101
2020-03-23,2411,825,13315,27549,125
2020-03-24,2771,946,16292,30697,147
2020-03-25,3062,982,18308,34940,171
2020-03-26,3326,942,20391,39714,195
2020-03-27,3650,988,23325,44886,219
2020-03-28,4012,1082,19422,50559,242
2020-03-29,4277,1014,16680,56151,266
2020-03-30,4501,956,22958,61015,290
2020-03-31,4879,1038,22137,66615,314
2020-04-01,5167,1013,20298,73039,338
2020-04-02,5527,1039,18893,78953,362
2020-04-03,5946,1132,18370,83964,386
2020-04-04,6446,1275,14776,88948,410
2020-04-05,6730,1133,11776,93573,434
2020-04-06,7034,1037,11857,97258,458
2020-04-07,7309,988,11622,100534,482
2020-04-08,7593,943,10944,103829,506
2020-04-09,8073,1065,10131,106975,530
2020-04-10,8588,1227,9524,109751,554
2020-04-11,8973,1213,7588,112340,578
2020-04-12,9409,1209,6122,114622,601
2020-04-13,9666,1062,6116,116440,624
2020-04-14,9981,1003,5664,118088,646
2020-04-15,10470,1056,4982,119731,669
2020-04-16,11067,1181,4314,121223,693
2020-04-17,11616,1242,3905,122357,717
2020-04-18,12109,1235,3019,123359,741
2020-04-19,12510,1075,2282,124247,765
2020-04-20,12768,849,1892,124970,789
2020-04-21,13304,892,1542,125528,813
2020-04-22,13832,828,1155,126018,835
2020-04-23,14201,662,853,126377,843
2020-04-24,14834,633,633,126651,843
2020-04-25,15273,439,439,126845,843
2020-04-26,15563,290,290,126994,843
2020-04-27,15741,178,178,127106,843
2020-04-28,15845,104,104,127180,843
2020-04-29,15913,68,68,127216,843
2020-04-30,15957,44,44,127240,843
2020-05-01,15981,24,24,127260,843
2020-05-02,15992,11,11,127273,843
2020-05-03,15993,1,1,127283,843
2020-05-04,15993,0,0,127284,843
