,infect_chance
486954,1
393899,1
710496,1
698629,1
661190,1
742538,1
353568,1
414631,1
179537,1
106669,1
273692,1
404165,1
552193,1
109920,1
133534,1
383500,1
276836,1
83425,1
535872,1
798693,1
444895,1
632781,1
690807,1
322450,1
141157,1
90525,1
425368,1
142333,1
377377,1
749925,1
217714,1
789553,1
441848,1
602728,1
179509,1
592405,1
395879,1
226359,1
347294,1
656448,1
459851,1
685336,1
809138,1
35584,1
462437,1
573722,1
42174,1
256300,1
267833,1
439900,1
719748,1
129651,1
124379,1
257712,1
473339,1
531020,1
677320,1
485764,1
473502,1
482758,1
719993,1
767292,1
803704,1
839225,1
694328,1
546549,1
267582,1
747673,1
294214,1
355532,1
644844,1
14280,1
92472,1
730145,1
662947,1
174465,1
582662,1
850792,1
837278,1
663545,1
762204,1
269954,1
611511,1
779723,1
271854,1
769626,1
204508,1
348248,1
790199,1
366287,1
487881,1
714611,1
585364,1
635906,1
217079,1
262630,1
323844,1
210035,1
429921,1
221341,1
432093,1
85177,1
76406,1
55646,1
532207,1
42190,1
718170,1
559484,1
540961,1
737437,1
710887,1
222283,1
773205,1
41888,1
463294,1
684549,1
377222,1
726211,1
616735,1
674024,1
739902,1
271411,1
722893,1
28518,1
103335,1
508318,1
836615,1
201879,1
32610,1
89374,1
371250,1
685386,1
327154,1
266876,1
239290,1
588592,1
56498,1
212013,1
498609,1
541922,1
747549,1
52398,1
645923,1
782557,1
335117,1
270766,1
308868,1
74427,1
87733,1
61036,1
666078,1
256765,1
170449,1
487619,1
482388,1
21274,1
424916,1
58749,1
587057,1
694525,1
595596,1
103404,1
96516,1
466250,1
379057,1
661179,1
353271,1
1232,1
685892,1
257265,1
815956,1
836757,1
111166,1
338684,1
515171,1
382300,1
257759,1
429393,1
47156,1
284639,1
442314,1
733352,1
636356,1
601522,1
216408,1
633008,1
683136,1
132503,1
241452,1
636381,1
349461,1
471296,1
217028,1
484155,1
18436,1
795948,1
162476,1
263513,1
513558,1
610196,1
137717,1
720912,1
284473,1
320409,1
168614,1
660007,1
707005,1
87736,1
30846,1
171566,1
172028,1
497759,1
595651,1
436864,1
266469,1
842943,1
95862,1
202738,1
843103,1
857510,1
240817,1
227614,1
402204,1
304959,1
314854,1
246391,1
347576,1
517517,1
180297,1
597598,1
635696,1
616466,1
229559,1
817006,1
